row_id,monitor,date_hour,date,hour,season,sin_hour,cos_hour,season_binary,mod_pm25,mod_pm1,mod_pm10,mod_temp,mod_rh,grimm_pm25,split_day_block
61,MOD-PM-00884,2025-08-15T15:00:00Z,2025-08-15,15,Not Harmattan,-0.7071067811865471,-0.7071067811865479,0,10.903569507284486,10.88499531013876,13.93399949891634,34.23916666666667,46.888666666666666,6.791666666666666,train
62,MOD-PM-00884,2025-08-15T16:00:00Z,2025-08-15,16,Not Harmattan,-0.8660254037844384,-0.5000000000000004,0,12.748808961661194,12.670720871654188,15.027389751471173,34.755,45.9175,6.16,train
63,MOD-PM-00884,2025-08-15T17:00:00Z,2025-08-15,17,Not Harmattan,-0.9659258262890683,-0.25881904510252063,0,23.411955258742648,22.700476530029075,23.346368657117665,33.30316666666667,49.372166666666665,6.461666666666667,train
64,MOD-PM-00884,2025-08-15T18:00:00Z,2025-08-15,18,Not Harmattan,-1,-1.8369701987210297e-16,0,64.88832468665329,61.79874925948874,55.959407550061826,29.330333333333332,60.751666666666665,10.791666666666666,train
65,MOD-PM-00884,2025-08-15T19:00:00Z,2025-08-15,19,Not Harmattan,-0.9659258262890684,0.2588190451025203,0,53.294055160786854,50.9285073067248,46.55628298353191,27.226333333333333,67.36966666666666,27.82,train
66,MOD-PM-00884,2025-08-15T20:00:00Z,2025-08-15,20,Not Harmattan,-0.8660254037844386,0.5000000000000001,0,14.256355402992211,14.144534597175072,15.779283207412185,26.3155,68.807,25.003333333333337,train
67,MOD-PM-00884,2025-08-15T21:00:00Z,2025-08-15,21,Not Harmattan,-0.7071067811865477,0.7071067811865474,0,12.656310440696505,12.62647260034182,14.584518500888008,25.621333333333332,71.11533333333334,8.786666666666667,train
68,MOD-PM-00884,2025-08-15T22:00:00Z,2025-08-15,22,Not Harmattan,-0.5000000000000004,0.8660254037844384,0,13.1385425887946,13.073764908173384,15.01297767009626,24.907666666666668,74.07716666666667,8.12,train
69,MOD-PM-00884,2025-08-15T23:00:00Z,2025-08-15,23,Not Harmattan,-0.25881904510252157,0.9659258262890681,0,14.130107972813114,14.00534492632942,15.689349923306253,24.571833333333338,76.16683333333333,9.43,train
70,MOD-PM-00884,2025-08-16T00:00:00Z,2025-08-16,0,Not Harmattan,0,1,0,15.157318730430896,14.96172321479922,16.49675833743812,24.493,77.26216666666667,10.558333333333334,train
71,MOD-PM-00884,2025-08-16T01:00:00Z,2025-08-16,1,Not Harmattan,0.25881904510252074,0.9659258262890683,0,17.324467720069634,16.974096117328138,18.432623241592932,24.508666666666667,78.32483333333333,11.62,train
72,MOD-PM-00884,2025-08-16T02:00:00Z,2025-08-16,2,Not Harmattan,0.49999999999999994,0.8660254037844387,0,15.693018938927892,15.37311670773127,17.097151109013716,23.6245,82.80716666666666,13.641666666666667,train
73,MOD-PM-00884,2025-08-16T03:00:00Z,2025-08-16,3,Not Harmattan,0.7071067811865475,0.7071067811865476,0,13.284182896715633,13.077978113137474,15.214304333162437,23.4545,83.883,14.203333333333331,train
74,MOD-PM-00884,2025-08-16T04:00:00Z,2025-08-16,4,Not Harmattan,0.8660254037844386,0.5000000000000001,0,14.522757668839366,14.221411158985608,16.2288074034546,23.345,84.5835,12.91,train
75,MOD-PM-00884,2025-08-16T05:00:00Z,2025-08-16,5,Not Harmattan,0.9659258262890683,0.25881904510252074,0,16.087361178437405,15.569001880993248,17.852315728161535,23.235166666666668,85.16766666666666,14.536666666666669,train
76,MOD-PM-00884,2025-08-16T06:00:00Z,2025-08-16,6,Not Harmattan,1,6.123233995736766e-17,0,14.517985919741982,13.99980427322596,16.68485812318982,23.138666666666666,85.63316666666667,16.826666666666668,train
77,MOD-PM-00884,2025-08-16T07:00:00Z,2025-08-16,7,Not Harmattan,0.9659258262890683,-0.25881904510252063,0,13.616329261237864,13.27080438416525,15.618379904167304,23.489166666666662,84.65016666666666,16.201666666666668,train
78,MOD-PM-00884,2025-08-16T08:00:00Z,2025-08-16,8,Not Harmattan,0.8660254037844387,-0.49999999999999983,0,14.57165790104248,14.2777796089618,16.274556280187454,24.40983333333333,81.7355,15.278333333333334,train
